Date,Age,Ever Vaccinated,Never Vaccinated
2021-04-15,0,0,58659
2021-04-15,1,0,57254
2021-04-15,2,0,59827
2021-04-15,3,0,59485
2021-04-15,4,0,62062
2021-04-15,5,0,63691
2021-04-15,6,0,63667
2021-04-15,7,0,64421
2021-04-15,8,0,64956
2021-04-15,9,0,67874
2021-04-15,10,57,66799
2021-04-15,11,57,68361
2021-04-15,12,57,67699
2021-04-15,13,57,67901
2021-04-15,14,57,67382
2021-04-15,15,57,64204
2021-04-15,16,57,62557
2021-04-15,17,57,62651
2021-04-15,18,57,62646
2021-04-15,19,54,62073
2021-04-15,20,590,63301
2021-04-15,21,590,65488
2021-04-15,22,590,64235
2021-04-15,23,590,64424
2021-04-15,24,590,66284
2021-04-15,25,590,67526
2021-04-15,26,590,69530
2021-04-15,27,590,70734
2021-04-15,28,590,73157
2021-04-15,29,585,76756
2021-04-15,30,655,77920
2021-04-15,31,655,79047
2021-04-15,32,655,76554
2021-04-15,33,655,75444
2021-04-15,34,655,73676
2021-04-15,35,655,70339
2021-04-15,36,655,68769
2021-04-15,37,655,67982
2021-04-15,38,655,66829
2021-04-15,39,655,66592
2021-04-15,40,604,64034
2021-04-15,41,604,63822
2021-04-15,42,604,62512
2021-04-15,43,604,60846
2021-04-15,44,604,60068
2021-04-15,45,604,60250
2021-04-15,46,604,60830
2021-04-15,47,604,63096
2021-04-15,48,604,64371
2021-04-15,49,604,67532
2021-04-15,50,729,67925
2021-04-15,51,729,66962
2021-04-15,52,729,65821
2021-04-15,53,729,65380
2021-04-15,54,729,63138
2021-04-15,55,729,62028
2021-04-15,56,729,62400
2021-04-15,57,729,63752
2021-04-15,58,729,64966
2021-04-15,59,735,65037
2021-04-15,60,553,63542
2021-04-15,61,553,61697
2021-04-15,62,553,59051
2021-04-15,63,553,57525
2021-04-15,64,553,55912
2021-04-15,65,553,54223
2021-04-15,66,553,52313
2021-04-15,67,553,50731
2021-04-15,68,553,48209
2021-04-15,69,552,47390
2021-04-15,70,191,45588
2021-04-15,71,191,45110
2021-04-15,72,191,43489
2021-04-15,73,191,42656
2021-04-15,74,191,42229
2021-04-15,75,191,38047
2021-04-15,76,191,33249
2021-04-15,77,191,30339
2021-04-15,78,191,26793
2021-04-15,79,197,26547
2021-04-15,80,53,26440
2021-04-15,81,53,24395
2021-04-15,82,53,21013
2021-04-15,83,53,18643
2021-04-15,84,53,16614
2021-04-15,85,53,14599
2021-04-15,86,53,12435
2021-04-15,87,53,11700
2021-04-15,88,53,9868
2021-04-15,89,53,8479
2021-04-15,90,55,33070
2021-04-21,0,0,58659
2021-04-21,1,0,57254
2021-04-21,2,0,59827
2021-04-21,3,0,59485
2021-04-21,4,0,62062
2021-04-21,5,0,63691
2021-04-21,6,0,63667
2021-04-21,7,0,64421
2021-04-21,8,0,64956
2021-04-21,9,0,67874
2021-04-21,10,122,66734
2021-04-21,11,122,68296
2021-04-21,12,122,67634
2021-04-21,13,122,67836
2021-04-21,14,122,67317
2021-04-21,15,122,64139
2021-04-21,16,122,62492
2021-04-21,17,122,62586
2021-04-21,18,122,62581
2021-04-21,19,122,62005
2021-04-21,20,1177,62714
2021-04-21,21,1177,64901
2021-04-21,22,1177,63648
2021-04-21,23,1177,63837
2021-04-21,24,1177,65697
2021-04-21,25,1177,66939
2021-04-21,26,1177,68943
2021-04-21,27,1177,70147
2021-04-21,28,1177,72570
2021-04-21,29,1180,76161
2021-04-21,30,1287,77288
2021-04-21,31,1287,78415
2021-04-21,32,1287,75922
2021-04-21,33,1287,74812
2021-04-21,34,1287,73044
2021-04-21,35,1287,69707
2021-04-21,36,1287,68137
2021-04-21,37,1287,67350
2021-04-21,38,1287,66197
2021-04-21,39,1284,65963
2021-04-21,40,1191,63447
2021-04-21,41,1191,63235
2021-04-21,42,1191,61925
2021-04-21,43,1191,60259
2021-04-21,44,1191,59481
2021-04-21,45,1191,59663
2021-04-21,46,1191,60243
2021-04-21,47,1191,62509
