Date,Age Group,First Doses,No Dose
2021-05-05,81+,6236,165112
2021-05-12,81+,11126,160222
2021-05-19,81+,17264,154084
2021-05-26,81+,24982,146366
2021-06-02,81+,34262,137086
2021-06-09,81+,44512,126836
2021-06-16,81+,54686,116662
2021-06-23,81+,63702,107646
2021-06-30,81+,71942,99406
2021-07-07,81+,80390,90958
2021-07-14,81+,87540,83808
2021-07-21,81+,94564,76784
2021-07-28,81+,105820,65528
2021-08-04,81+,117004,54344
2021-08-11,81+,126415,44933
2021-08-18,81+,133089,38259
2021-08-25,81+,134955,36393
2021-08-31,81+,139562,31786
2021-09-07,81+,143582,27766
2021-09-14,81+,146042,25306
2021-09-21,81+,148119,23229
2021-09-28,81+,149766,21582
2021-10-05,81+,150836,20512
2021-10-12,81+,152417,18931
2021-10-19,81+,153425,17923
2021-10-26,81+,154204,17144
2021-11-03,81+,154996,16352
2021-11-10,81+,155564,15784
2021-11-17,81+,156118,15230
2021-11-24,81+,156196,15152
2021-12-01,81+,156674,14674
2021-12-08,81+,157037,14311
2021-12-15,81+,157293,14055
2021-12-22,81+,157499,13849
2021-12-29,81+,157564,13784
