year,month,age_group,count
2020,10,Under 65,558
2020,10,65+,2172
2020,11,Under 65,549
2020,11,65+,2082
2020,12,Under 65,576
2020,12,65+,2301
2021,1,Under 65,561
2021,1,65+,2277
2021,2,Under 65,516
2021,2,65+,1983
2021,3,Under 65,609
2021,3,65+,2295
2021,4,Under 65,519
2021,4,65+,2169
2021,5,Under 65,561
2021,5,65+,2367
2021,6,Under 65,561
2021,6,65+,2475
2021,7,Under 65,546
2021,7,65+,2646
2021,8,Under 65,552
2021,8,65+,2661
2021,9,Under 65,546
2021,9,65+,2544
2021,10,Under 65,540
2021,10,65+,2211
2021,11,Under 65,567
2021,11,65+,2385
2021,12,Under 65,573
2021,12,65+,2310
2022,1,Under 65,597
2022,1,65+,2304
2022,2,Under 65,522
2022,2,65+,2085
2022,3,Under 65,603
2022,3,65+,2616
2022,4,Under 65,555
2022,4,65+,2487
2022,5,Under 65,609
2022,5,65+,2838
2022,6,Under 65,639
2022,6,65+,2868
2022,7,Under 65,573
2022,7,65+,2970
2022,8,Under 65,630
2022,8,65+,3342
2022,9,Under 65,579
2022,9,65+,2709
2022,10,Under 65,522
2022,10,65+,2493
2022,11,Under 65,642
2022,11,65+,2496
2022,12,Under 65,546
2022,12,65+,2427
2023,1,Under 65,672
2023,1,65+,2559
2023,2,Under 65,501
2023,2,65+,2190
2023,3,Under 65,609
2023,3,65+,2472
2023,4,Under 65,498
2023,4,65+,2301
2023,5,Under 65,624
2023,5,65+,2757
2023,6,Under 65,618
2023,6,65+,2712
2023,7,Under 65,603
2023,7,65+,2670
2023,8,Under 65,597
2023,8,65+,2814
2023,9,Under 65,597
2023,9,65+,2787
