year,month,age_group,count
2010,1,Under 65,513
2010,1,65+,1710
2010,2,Under 65,432
2010,2,65+,1524
2010,3,Under 65,561
2010,3,65+,1812
2010,4,Under 65,531
2010,4,65+,1764
2010,5,Under 65,513
2010,5,65+,1761
2010,6,Under 65,513
2010,6,65+,2013
2010,7,Under 65,555
2010,7,65+,2127
2010,8,Under 65,585
2010,8,65+,2079
2010,9,Under 65,600
2010,9,65+,2034
2010,10,Under 65,480
2010,10,65+,1812
2010,11,Under 65,549
2010,11,65+,1917
2010,12,Under 65,504
2010,12,65+,1737
2011,1,Under 65,525
2011,1,65+,1878
2011,2,Under 65,516
2011,2,65+,1698
2011,3,Under 65,666
2011,3,65+,1965
2011,4,Under 65,435
2011,4,65+,1755
2011,5,Under 65,579
2011,5,65+,2070
2011,6,Under 65,468
2011,6,65+,1980
2011,7,Under 65,519
2011,7,65+,2013
2011,8,Under 65,555
2011,8,65+,2223
2011,9,Under 65,600
2011,9,65+,2445
2011,10,Under 65,492
2011,10,65+,1983
2011,11,Under 65,576
2011,11,65+,2082
2011,12,Under 65,480
2011,12,65+,1740
2012,1,Under 65,543
2012,1,65+,1953
2012,2,Under 65,543
2012,2,65+,1701
2012,3,Under 65,453
2012,3,65+,1755
2012,4,Under 65,459
2012,4,65+,1752
2012,5,Under 65,519
2012,5,65+,2163
2012,6,Under 65,483
2012,6,65+,1962
2012,7,Under 65,567
2012,7,65+,2361
2012,8,Under 65,606
2012,8,65+,2439
2012,9,Under 65,489
2012,9,65+,2010
2012,10,Under 65,513
2012,10,65+,2274
2012,11,Under 65,504
2012,11,65+,1986
2012,12,Under 65,495
2012,12,65+,1716
2013,1,Under 65,594
2013,1,65+,2061
2013,2,Under 65,462
2013,2,65+,1605
2013,3,Under 65,459
2013,3,65+,1650
2013,4,Under 65,525
2013,4,65+,2007
2013,5,Under 65,519
2013,5,65+,2061
2013,6,Under 65,438
2013,6,65+,1821
2013,7,Under 65,561
2013,7,65+,2316
2013,8,Under 65,525
2013,8,65+,2202
2013,9,Under 65,522
2013,9,65+,2106
2013,10,Under 65,522
2013,10,65+,2124
2013,11,Under 65,513
2013,11,65+,1839
2013,12,Under 65,480
2013,12,65+,1782
2014,1,Under 65,507
2014,1,65+,1944
2014,2,Under 65,471
2014,2,65+,1746
2014,3,Under 65,447
2014,3,65+,1797
2014,4,Under 65,498
2014,4,65+,1773
2014,5,Under 65,543
2014,5,65+,2136
2014,6,Under 65,549
2014,6,65+,2112
2014,7,Under 65,549
2014,7,65+,2472
2014,8,Under 65,501
2014,8,65+,2340
2014,9,Under 65,570
2014,9,65+,2313
2014,10,Under 65,531
2014,10,65+,2298
2014,11,Under 65,513
2014,11,65+,1950
2014,12,Under 65,549
2014,12,65+,2112
2015,1,Under 65,525
2015,1,65+,2010
2015,2,Under 65,480
2015,2,65+,1770
2015,3,Under 65,534
2015,3,65+,2028
2015,4,Under 65,468
2015,4,65+,1983
2015,5,Under 65,501
2015,5,65+,1983
2015,6,Under 65,558
2015,6,65+,2199
2015,7,Under 65,546
2015,7,65+,2496
2015,8,Under 65,501
2015,8,65+,2484
2015,9,Under 65,540
2015,9,65+,2439
2015,10,Under 65,495
2015,10,65+,2145
2015,11,Under 65,495
2015,11,65+,2058
2015,12,Under 65,519
2015,12,65+,2007
2016,1,Under 65,513
2016,1,65+,1938
2016,2,Under 65,474
2016,2,65+,1791
2016,3,Under 65,543
2016,3,65+,1845
2016,4,Under 65,489
2016,4,65+,1875
2016,5,Under 65,531
2016,5,65+,2133
2016,6,Under 65,549
2016,6,65+,2133
2016,7,Under 65,543
2016,7,65+,2235
2016,8,Under 65,558
2016,8,65+,2538
2016,9,Under 65,540
2016,9,65+,2340
2016,10,Under 65,507
2016,10,65+,2115
2016,11,Under 65,537
2016,11,65+,2142
2016,12,Under 65,492
2016,12,65+,1980
2017,1,Under 65,522
2017,1,65+,2040
2017,2,Under 65,522
2017,2,65+,1875
2017,3,Under 65,513
2017,3,65+,2160
2017,4,Under 65,513
2017,4,65+,1800
2017,5,Under 65,612
2017,5,65+,2421
2017,6,Under 65,570
2017,6,65+,2442
2017,7,Under 65,537
2017,7,65+,2475
2017,8,Under 65,636
2017,8,65+,3087
2017,9,Under 65,561
2017,9,65+,2367
2017,10,Under 65,555
2017,10,65+,2289
2017,11,Under 65,573
2017,11,65+,2136
2017,12,Under 65,471
2017,12,65+,1860
2018,1,Under 65,627
2018,1,65+,2241
2018,2,Under 65,501
2018,2,65+,1944
2018,3,Under 65,531
2018,3,65+,1983
2018,4,Under 65,561
2018,4,65+,2070
2018,5,Under 65,585
2018,5,65+,2358
2018,6,Under 65,513
2018,6,65+,2307
2018,7,Under 65,573
2018,7,65+,2427
2018,8,Under 65,600
2018,8,65+,2634
2018,9,Under 65,516
2018,9,65+,2250
2018,10,Under 65,621
2018,10,65+,2412
2018,11,Under 65,537
2018,11,65+,2247
2018,12,Under 65,495
2018,12,65+,1917
2019,1,Under 65,618
2019,1,65+,2205
2019,2,Under 65,513
2019,2,65+,1767
2019,3,Under 65,558
2019,3,65+,2064
2019,4,Under 65,588
2019,4,65+,2268
2019,5,Under 65,552
2019,5,65+,2511
2019,6,Under 65,555
2019,6,65+,2325
2019,7,Under 65,597
2019,7,65+,2943
2019,8,Under 65,573
2019,8,65+,2529
2019,9,Under 65,549
2019,9,65+,2361
2019,10,Under 65,579
2019,10,65+,2406
2019,11,Under 65,531
2019,11,65+,2148
2019,12,Under 65,600
2019,12,65+,2100
2020,1,Under 65,573
2020,1,65+,2160
2020,2,Under 65,555
2020,2,65+,1926
2020,3,Under 65,522
2020,3,65+,2277
2020,4,Under 65,471
2020,4,65+,2160
2020,5,Under 65,492
2020,5,65+,2124
2020,6,Under 65,549
2020,6,65+,2265
2020,7,Under 65,516
2020,7,65+,2334
2020,8,Under 65,462
2020,8,65+,2256
2020,9,Under 65,561
2020,9,65+,2247
