year,month,age_group,count
2020,2,Under 70,720
2020,2,70+,1761
2020,3,Under 70,750
2020,3,70+,2049
2020,4,Under 70,660
2020,4,70+,1971
2020,5,Under 70,687
2020,5,70+,1929
2020,6,Under 70,762
2020,6,70+,2052
2020,7,Under 70,726
2020,7,70+,2124
2020,8,Under 70,651
2020,8,70+,2067
2020,9,Under 70,768
2020,9,70+,2040
2020,10,Under 70,771
2020,10,70+,1959
2020,11,Under 70,741
2020,11,70+,1890
2020,12,Under 70,798
2020,12,70+,2079
2021,1,Under 70,756
2021,1,70+,2082
2021,2,Under 70,708
2021,2,70+,1791
2021,3,Under 70,804
2021,3,70+,2100
2021,4,Under 70,699
2021,4,70+,1989
2021,5,Under 70,774
2021,5,70+,2154
2021,6,Under 70,792
2021,6,70+,2244
2021,7,Under 70,759
2021,7,70+,2433
2021,8,Under 70,801
2021,8,70+,2412
2021,9,Under 70,792
2021,9,70+,2298
2021,10,Under 70,726
2021,10,70+,2025
2021,11,Under 70,780
2021,11,70+,2172
2021,12,Under 70,759
2021,12,70+,2124
2022,1,Under 70,804
2022,1,70+,2097
2022,2,Under 70,711
2022,2,70+,1896
2022,3,Under 70,831
2022,3,70+,2388
2022,4,Under 70,756
2022,4,70+,2286
2022,5,Under 70,864
2022,5,70+,2583
2022,6,Under 70,867
2022,6,70+,2640
2022,7,Under 70,807
2022,7,70+,2736
2022,8,Under 70,915
2022,8,70+,3057
2022,9,Under 70,816
2022,9,70+,2472
2022,10,Under 70,744
2022,10,70+,2271
2022,11,Under 70,861
2022,11,70+,2277
2022,12,Under 70,780
2022,12,70+,2193
2023,1,Under 70,894
2023,1,70+,2337
2023,2,Under 70,699
2023,2,70+,1992
2023,3,Under 70,816
2023,3,70+,2265
2023,4,Under 70,714
2023,4,70+,2085
2023,5,Under 70,858
2023,5,70+,2523
2023,6,Under 70,861
2023,6,70+,2469
2023,7,Under 70,834
2023,7,70+,2439
2023,8,Under 70,831
2023,8,70+,2580
2023,9,Under 70,846
2023,9,70+,2538
