year,births,deaths,immigration,census population,natural growth and immigration population,offset
2019,59637,34233,72588,5040460,5039192,1268
2020,57576,32613,36844,5103710,5100999,2711
2021,58659,34908,-14950,5116480,5109800,6680
2022,58887,38595,24832,5160530,5154924,5606
2023,56955,37878,125959,5305550,5299960,5590
