Date,Age Group,First Doses,No Dose
2022-03-16,41-60,1166704,122042
2022-03-23,41-60,1165987,122759
2022-03-30,41-60,1166287,122459
2022-04-06,41-60,1166417,122329
2022-04-13,41-60,1166555,122191
2022-04-20,41-60,1166650,122096
2022-04-27,41-60,1166734,122012
2022-05-04,41-60,1166785,121961
2022-05-11,41-60,1166794,121952
2022-05-18,41-60,1166765,121981
2022-05-25,41-60,1166834,121912
2022-06-01,41-60,1166879,121867
2022-06-08,41-60,1166873,121873
2022-06-15,41-60,1166994,121752
2022-06-22,41-60,1167087,121659
2022-06-29,41-60,1167127,121619
2022-07-06,41-60,1166908,121838
2022-07-13,41-60,1166330,122416
2022-07-20,41-60,1165596,123150
2022-07-27,41-60,1164972,123774
2022-08-03,41-60,1164156,124590
2022-08-10,41-60,1169785,118961
2022-08-17,41-60,1169999,118747
2022-08-24,41-60,1170063,118683
2022-08-31,41-60,1170123,118623
2022-09-07,41-60,1170226,118520
2022-09-14,41-60,1170221,118525
2022-09-21,41-60,1170188,118558
2022-09-28,41-60,1170184,118562
2022-10-05,41-60,1170186,118560
2022-11-02,41-60,1170354,118392
2022-12-07,41-60,1170434,118312
2022-01-05,61-80,833777,83253
2022-01-12,61-80,835138,81892
2022-02-16,61-80,849915,67115
2022-02-23,61-80,851127,65903
2022-03-02,61-80,851924,65106
2022-03-09,61-80,852438,64592
2022-03-16,61-80,852846,64184
2022-03-23,61-80,846640,70390
2022-03-30,61-80,846520,70510
2022-04-06,61-80,846344,70686
2022-04-13,61-80,846344,70686
2022-04-20,61-80,846269,70761
2022-04-27,61-80,846129,70901
2022-05-04,61-80,845883,71147
2022-05-11,61-80,845684,71346
2022-05-18,61-80,845225,71805
2022-05-25,61-80,845062,71968
2022-06-01,61-80,844827,72203
2022-06-08,61-80,844505,72525
2022-06-15,61-80,844365,72665
2022-06-22,61-80,844244,72786
2022-06-29,61-80,844062,72968
2022-07-06,61-80,843675,73355
2022-07-13,61-80,843286,73744
2022-07-20,61-80,842888,74142
2022-07-27,61-80,842673,74357
2022-08-03,61-80,842181,74849
2022-08-10,61-80,863069,53961
2022-08-17,61-80,863593,53437
2022-08-24,61-80,864041,52989
2022-08-31,61-80,864668,52362
2022-09-07,61-80,865185,51845
2022-09-14,61-80,865610,51420
2022-09-21,61-80,866102,50928
2022-09-28,61-80,866726,50304
2022-10-05,61-80,867309,49721
2022-11-02,61-80,869303,47727
2022-12-07,61-80,871832,45198
2022-01-05,81+,161668,15539
2022-01-12,81+,161745,15462
2022-02-16,81+,173371,3836
2022-02-23,81+,173629,3578
2022-03-02,81+,173813,3394
2022-03-09,81+,173939,3268
2022-03-16,81+,174013,3194
2022-03-23,81+,163971,13236
2022-03-30,81+,163541,13666
2022-04-06,81+,163087,14120
2022-04-13,81+,162867,14340
2022-04-20,81+,162662,14545
2022-04-27,81+,162416,14791
2022-05-04,81+,161992,15215
2022-05-11,81+,161618,15589
2022-05-18,81+,161062,16145
2022-05-25,81+,160687,16520
2022-06-01,81+,160295,16912
2022-06-08,81+,159854,17353
2022-06-15,81+,159555,17652
2022-06-22,81+,159296,17911
2022-06-29,81+,159120,18087
2022-07-06,81+,159455,17752
2022-07-13,81+,160036,17171
2022-07-20,81+,160795,16412
2022-07-27,81+,161220,15987
2022-08-03,81+,161335,15872
2022-08-10,81+,169540,7667
2022-08-17,81+,169672,7535
2022-08-24,81+,169628,7579
2022-08-31,81+,169784,7423
2022-09-07,81+,169875,7332
2022-09-14,81+,169843,7364
2022-09-21,81+,169904,7303
2022-09-28,81+,170069,7138
2022-10-05,81+,170199,7008
2022-11-02,81+,170526,6681
2022-12-07,81+,170992,6215
