Date,Age Group,First Doses,No Dose
2022-01-05,0-20,489643,852123
2022-01-12,0-20,493086,848680
2022-02-16,0-20,497174,844592
2022-02-23,0-20,496861,844905
2022-03-02,0-20,508963,832803
2022-03-09,0-20,508355,833411
2022-03-16,0-20,518430,823336
2022-03-23,0-20,522832,818934
2022-03-30,0-20,524361,817405
2022-04-06,0-20,525359,816407
2022-04-13,0-20,525991,815775
2022-04-20,0-20,526305,815461
2022-04-27,0-20,526805,814961
2022-05-04,0-20,527311,814455
2022-05-11,0-20,527584,814182
2022-05-18,0-20,527894,813872
2022-05-25,0-20,528185,813581
2022-06-01,0-20,528590,813176
2022-06-08,0-20,528816,812950
2022-06-15,0-20,529080,812686
2022-06-22,0-20,529312,812454
2022-06-29,0-20,529516,812250
2022-07-06,0-20,529767,811999
2022-07-13,0-20,530028,811738
2022-07-20,0-20,530465,811301
2022-07-27,0-20,530829,810937
2022-08-03,0-20,531058,810708
2022-08-10,0-20,497568,844198
2022-08-17,0-20,496657,845109
2022-08-24,0-20,495775,845991
2022-08-31,0-20,494926,846840
2022-09-07,0-20,493985,847781
2022-09-14,0-20,493012,848754
2022-09-21,0-20,491956,849810
2022-09-28,0-20,490827,850939
2022-10-05,0-20,489711,852055
2022-11-02,0-20,485535,856231
2022-12-07,0-20,480539,861227
2022-01-05,21-40,1272210,157965
2022-01-12,21-40,1279836,150339
2022-02-16,21-40,1291723,138452
2022-02-23,21-40,1294037,136138
2022-03-02,21-40,1295886,134289
2022-03-09,21-40,1297389,132786
2022-03-16,21-40,1298524,131651
2022-03-23,21-40,1299277,130898
2022-03-30,21-40,1299862,130313
2022-04-06,21-40,1300298,129877
2022-04-13,21-40,1300667,129508
2022-04-20,21-40,1300930,129245
2022-04-27,21-40,1301232,128943
2022-05-04,21-40,1301540,128635
2022-05-11,21-40,1301815,128360
2022-05-18,21-40,1302071,128104
2022-05-25,21-40,1302312,127863
2022-06-01,21-40,1302605,127570
2022-06-08,21-40,1302832,127343
2022-06-15,21-40,1303239,126936
2022-06-22,21-40,1303536,126639
2022-06-29,21-40,1303861,126314
2022-07-06,21-40,1304159,126016
2022-07-13,21-40,1304458,125717
2022-07-20,21-40,1304784,125391
2022-07-27,21-40,1305033,125142
2022-08-03,21-40,1305239,124936
2022-08-10,21-40,1306480,123695
2022-08-17,21-40,1306662,123513
2022-08-24,21-40,1306917,123258
2022-08-31,21-40,1307186,122989
2022-09-07,21-40,1307344,122831
2022-09-14,21-40,1307382,122793
2022-09-21,21-40,1307456,122719
2022-09-28,21-40,1307477,122698
2022-10-05,21-40,1307519,122656
2022-11-02,21-40,1307637,122538
2022-12-07,21-40,1307893,122282
2022-01-05,41-60,1156417,132329
2022-01-12,41-60,1160240,128506
2022-02-16,41-60,1162383,126363
2022-02-23,41-60,1163941,124805
2022-03-02,41-60,1165354,123392
2022-03-09,41-60,1166106,122640
