Year,Month,Year Month,Age Group,Reference Doses Date,Ever Vaccinated,Never Vaccinated,Deaths ever vaccinated,Deaths never vaccinated,Deaths per 10000 ever vaccinated,Deaths per 10000 never vaccinated
2022,05,2022-05,61-80,2022-05-18,854394,72521,1149,86,13.45,11.86
2022,05,2022-05,81+,2022-05-18,173915,16786,1615,81,92.86,48.25
2022,06,2022-06,0-20,2022-06-15,529193,813092,21,57,0.4,0.7
2022,06,2022-06,21-40,2022-06-15,1303712,127053,61,27,0.47,2.13
2022,06,2022-06,41-60,2022-06-15,1168960,122052,311,37,2.66,3.03
2022,06,2022-06,61-80,2022-06-15,852385,73295,1185,87,13.9,11.87
2022,06,2022-06,81+,2022-06-15,170793,18212,1673,96,97.95,52.71
2022,07,2022-07,0-20,2022-07-13,530120,812087,8,71,0.15,0.87
2022,07,2022-07,21-40,2022-07-13,1304870,125807,78,9,0.6,0.72
2022,07,2022-07,41-60,2022-07-13,1167985,122679,274,58,2.35,4.73
2022,07,2022-07,61-80,2022-07-13,850121,74287,1251,105,14.72,14.13
2022,07,2022-07,81+,2022-07-13,169601,17635,2017,105,118.93,59.54
2022,08,2022-08,0-20,2022-08-17,496741,845387,18,55,0.36,0.65
2022,08,2022-08,21-40,2022-08-17,1306996,123594,54,15,0.41,1.21
2022,08,2022-08,41-60,2022-08-17,1171380,118952,271,52,2.31,4.37
2022,08,2022-08,61-80,2022-08-17,869177,53875,1199,113,13.79,20.97
2022,08,2022-08,81+,2022-08-17,177220,7894,1712,79,96.6,100.08
2022,09,2022-09,0-20,2022-09-14,493078,848977,15,62,0.3,0.73
2022,09,2022-09,21-40,2022-09-14,1307662,122859,77,13,0.59,1.06
2022,09,2022-09,41-60,2022-09-14,1171331,118678,268,35,2.29,2.95
2022,09,2022-09,61-80,2022-09-14,869995,51745,1123,85,12.91,16.43
2022,09,2022-09,81+,2022-09-14,175679,7644,1479,85,84.19,111.2
2022,10,2022-10,0-20,2022-10-05,489762,852216,16,47,0.33,0.55
2022,10,2022-10,21-40,2022-10-05,1307722,122709,63,13,0.48,1.06
2022,10,2022-10,41-60,2022-10-05,1171028,118678,273,40,2.33,3.37
2022,10,2022-10,61-80,2022-10-05,870571,49961,1138,79,13.07,15.81
2022,10,2022-10,81+,2022-10-05,174556,7203,1515,70,86.79,97.18
2022,11,2022-11,0-20,2022-11-02,485570,856345,14,60,0.29,0.7
2022,11,2022-11,21-40,2022-11-02,1307777,122578,67,17,0.51,1.39
2022,11,2022-11,41-60,2022-11-02,1170923,118470,284,35,2.43,2.95
2022,11,2022-11,61-80,2022-11-02,871427,47888,1043,73,11.97,15.24
2022,11,2022-11,81+,2022-11-02,173368,6806,1375,57,79.31,83.75
2022,12,2022-12,0-20,2022-12-07,480560,861281,21,54,0.44,0.63
2022,12,2022-12,21-40,2022-12-07,1307966,122305,73,23,0.56,1.88
2022,12,2022-12,41-60,2022-12-07,1170719,118355,285,43,2.43,3.63
2022,12,2022-12,61-80,2022-12-07,872913,45286,1081,88,12.38,19.43
2022,12,2022-12,81+,2022-12-07,172459,6283,1467,68,85.06,108.23
2023,01,2023-01,0-20,2023-01-11,445198,918746,26,19,0.58,0.21
2023,01,2023-01,21-40,2023-01-11,1372255,122628,63,16,0.46,1.3
2023,01,2023-01,41-60,2023-01-11,1197309,116139,299,39,2.5,3.36
2023,01,2023-01,61-80,2023-01-11,910454,51369,1074,63,11.8,12.26
2023,01,2023-01,81+,2023-01-11,196913,3569,1413,70,71.76,196.13
2023,02,2023-02,0-20,2023-02-01,442218,921681,9,14,0.2,0.15
2023,02,2023-02,21-40,2023-02-01,1372389,122415,62,14,0.45,1.14
2023,02,2023-02,41-60,2023-02-01,1197117,115993,265,35,2.21,3.02
2023,02,2023-02,61-80,2023-02-01,911192,49494,915,67,10.04,13.54
2023,02,2023-02,81+,2023-02-01,195702,3297,1237,41,63.21,124.36
2023,03,2023-03,0-20,2023-03-01,437942,925934,16,13,0.37,0.14
2023,03,2023-03,21-40,2023-03-01,1372754,121974,71,19,0.52,1.56
2023,03,2023-03,41-60,2023-03-01,1197078,115732,270,28,2.26,2.42
2023,03,2023-03,61-80,2023-03-01,912697,47007,1062,71,11.64,15.1
2023,03,2023-03,81+,2023-03-01,194836,2885,1360,63,69.8,218.37
2023,04,2023-04,0-20,2023-04-05,432552,931295,15,8,0.35,0.09
