Month of Death,Age at death,Last COVID-19 dose number,Days between last vaccination and death,Count
2021-05,41 to 60,2,<= 30,<5
2021-05,41 to 60,2,<= 90,<5
2021-05,61 to 80,0,N/A,993
2021-05,61 to 80,1,<= 30,54
2021-05,61 to 80,1,<= 90,<5
2021-05,61 to 80,2,<= 30,11
2021-05,61 to 80,2,<= 90,<5
2021-05,81 to 100,0,N/A,1209
2021-05,81 to 100,1,<= 30,185
2021-05,81 to 100,1,<= 90,11
2021-05,81 to 100,2,<= 30,27
2021-05,81 to 100,2,<= 90,<5
2021-06,0 to 20,0,N/A,94
2021-06,0 to 20,2,<= 30,<5
2021-06,100+,0,N/A,14
2021-06,100+,1,<= 30,<5
2021-06,100+,1,<= 90,<5
2021-06,100+,2,<= 30,<5
2021-06,21 to 40,0,N/A,77
2021-06,21 to 40,1,<= 90,<5
2021-06,21 to 40,2,<= 90,<5
2021-06,41 to 60,0,N/A,279
2021-06,41 to 60,1,<= 30,<5
2021-06,41 to 60,1,<= 90,<5
2021-06,41 to 60,2,<= 30,<5
2021-06,61 to 80,0,N/A,855
2021-06,61 to 80,1,<= 180,<5
2021-06,61 to 80,1,<= 30,111
2021-06,61 to 80,1,<= 90,22
2021-06,61 to 80,2,<= 180,<5
2021-06,61 to 80,2,<= 30,75
2021-06,61 to 80,2,<= 90,14
2021-06,81 to 100,0,N/A,901
2021-06,81 to 100,1,<= 30,258
2021-06,81 to 100,1,<= 90,50
2021-06,81 to 100,2,<= 30,212
2021-06,81 to 100,2,<= 90,41
2021-07,0 to 20,0,N/A,95
2021-07,0 to 20,2,<= 90,<5
2021-07,100+,0,N/A,7
2021-07,100+,1,<= 30,<5
2021-07,100+,2,<= 30,9
2021-07,100+,2,<= 90,7
2021-07,21 to 40,0,N/A,72
2021-07,21 to 40,1,<= 30,<5
2021-07,21 to 40,2,<= 30,<5
2021-07,41 to 60,0,N/A,274
2021-07,41 to 60,1,<= 30,11
2021-07,41 to 60,1,<= 90,<5
2021-07,41 to 60,2,<= 30,6
2021-07,41 to 60,2,<= 90,10
2021-07,61 to 80,0,N/A,794
2021-07,61 to 80,1,<= 30,100
2021-07,61 to 80,1,<= 90,53
2021-07,61 to 80,2,<= 30,133
2021-07,61 to 80,2,<= 90,128
2021-07,81 to 100,0,N/A,742
2021-07,81 to 100,1,<= 30,143
2021-07,81 to 100,1,<= 90,103
2021-07,81 to 100,2,<= 180,<5
2021-07,81 to 100,2,<= 30,280
2021-07,81 to 100,2,<= 90,371
2021-08,0 to 20,0,N/A,97
2021-08,0 to 20,1,<= 30,<5
2021-08,100+,0,N/A,17
2021-08,100+,2,<= 30,<5
2021-08,100+,2,<= 90,10
2021-08,21 to 40,0,N/A,53
2021-08,21 to 40,1,<= 180,<5
2021-08,21 to 40,1,<= 30,<5
2021-08,21 to 40,2,<= 30,<5
2021-08,21 to 40,2,<= 90,<5
2021-08,41 to 60,0,N/A,236
2021-08,41 to 60,1,<= 30,25
2021-08,41 to 60,1,<= 90,6
2021-08,41 to 60,2,<= 180,<5
2021-08,41 to 60,2,<= 30,14
2021-08,41 to 60,2,<= 90,17
2021-08,61 to 80,0,N/A,670
2021-08,61 to 80,1,<= 180,<5
2021-08,61 to 80,1,<= 30,106
2021-08,61 to 80,1,<= 90,62
2021-08,61 to 80,2,<= 180,33
2021-08,61 to 80,2,<= 30,92
2021-08,61 to 80,2,<= 90,267
2021-08,81 to 100,0,N/A,602
2021-08,81 to 100,1,<= 180,6
2021-08,81 to 100,1,<= 30,108
2021-08,81 to 100,1,<= 90,102
2021-08,81 to 100,2,<= 180,61
2021-08,81 to 100,2,<= 30,147
2021-08,81 to 100,2,<= 90,646
2021-09,0 to 20,0,N/A,101
2021-09,0 to 20,1,<= 30,7
2021-09,0 to 20,1,<= 90,<5
2021-09,100+,0,N/A,<5
2021-09,100+,1,<= 180,<5
2021-09,100+,1,<= 30,<5
2021-09,100+,2,<= 180,8
2021-09,100+,2,<= 90,5
2021-09,21 to 40,0,N/A,52
2021-09,21 to 40,1,<= 30,11
2021-09,21 to 40,1,<= 90,<5
2021-09,21 to 40,2,<= 180,<5
2021-09,21 to 40,2,<= 30,<5
2021-09,21 to 40,2,<= 90,<5
2021-09,41 to 60,0,N/A,170
2021-09,41 to 60,1,<= 180,<5
2021-09,41 to 60,1,<= 30,35
2021-09,41 to 60,1,<= 90,17
2021-09,41 to 60,2,<= 180,12
2021-09,41 to 60,2,<= 30,37
2021-09,41 to 60,2,<= 90,28
2021-09,61 to 80,0,N/A,394
2021-09,61 to 80,1,<= 180,7
2021-09,61 to 80,1,<= 30,80
2021-09,61 to 80,1,<= 90,78
2021-09,61 to 80,2,<= 180,124
2021-09,61 to 80,2,<= 30,106
2021-09,61 to 80,2,<= 90,271
2021-09,61 to 80,3,<= 30,<5
2021-09,81 to 100,0,N/A,358
2021-09,81 to 100,1,<= 180,21
2021-09,81 to 100,1,<= 30,54
2021-09,81 to 100,1,<= 90,93
2021-09,81 to 100,2,<= 180,309
2021-09,81 to 100,2,<= 30,83
2021-09,81 to 100,2,<= 90,515
2021-09,81 to 100,3,<= 90,<5
2021-10,0 to 20,0,N/A,84
2021-10,0 to 20,1,<= 30,6
2021-10,0 to 20,1,<= 90,<5
2021-10,0 to 20,2,<= 30,5
2021-10,0 to 20,2,<= 90,<5
2021-10,100+,0,N/A,<5
2021-10,100+,1,<= 90,<5
2021-10,100+,2,<= 180,5
2021-10,100+,2,<= 90,<5
2021-10,21 to 40,0,N/A,43
2021-10,21 to 40,1,<= 30,8
2021-10,21 to 40,1,<= 90,9
2021-10,21 to 40,2,<= 180,<5
2021-10,21 to 40,2,<= 30,<5
2021-10,21 to 40,2,<= 90,10
2021-10,41 to 60,0,N/A,136
2021-10,41 to 60,1,<= 180,<5
2021-10,41 to 60,1,<= 30,21
2021-10,41 to 60,1,<= 90,29
2021-10,41 to 60,2,<= 180,24
2021-10,41 to 60,2,<= 30,45
2021-10,41 to 60,2,<= 90,54
2021-10,61 to 80,0,N/A,243
2021-10,61 to 80,1,<= 180,18
2021-10,61 to 80,1,<= 30,63
2021-10,61 to 80,1,<= 90,70
2021-10,61 to 80,2,<= 180,275
2021-10,61 to 80,2,<= 30,88
2021-10,61 to 80,2,<= 90,284
2021-10,81 to 100,0,N/A,238
2021-10,81 to 100,1,<= 180,27
2021-10,81 to 100,1,<= 30,49
2021-10,81 to 100,1,<= 90,64
2021-10,81 to 100,2,<= 180,653
2021-10,81 to 100,2,<= 30,74
2021-10,81 to 100,2,<= 365,<5
2021-10,81 to 100,2,<= 90,298
2021-11,0 to 20,0,N/A,66
2021-11,0 to 20,1,<= 30,<5
2021-11,0 to 20,1,<= 90,<5
2021-11,0 to 20,2,<= 30,<5
2021-11,0 to 20,2,<= 90,5
2021-11,100+,0,N/A,<5
2021-11,100+,1,<= 90,<5
2021-11,100+,2,<= 180,7
2021-11,21 to 40,0,N/A,28
2021-11,21 to 40,1,<= 30,10
2021-11,21 to 40,1,<= 90,<5
2021-11,21 to 40,2,<= 180,<5
2021-11,21 to 40,2,<= 30,11
2021-11,21 to 40,2,<= 365,<5
2021-11,21 to 40,2,<= 90,8
2021-11,41 to 60,0,N/A,92
2021-11,41 to 60,1,<= 180,<5
