Month of Death,Age at death,Last COVID-19 dose number,Days between last vaccination and death,Count
2022-06,0 to 20,1,<= 180,<5
2022-06,0 to 20,2,366 +,<5
2022-06,0 to 20,2,<= 180,<5
2022-06,0 to 20,2,<= 365,7
2022-06,0 to 20,3,<= 180,6
2022-06,0 to 20,3,<= 90,<5
2022-06,100+,0,N/A,<5
2022-06,100+,2,<= 180,<5
2022-06,100+,2,<= 365,<5
2022-06,100+,3,<= 180,10
2022-06,100+,3,<= 365,7
2022-06,21 to 40,0,N/A,27
2022-06,21 to 40,1,<= 180,<5
2022-06,21 to 40,1,<= 365,<5
2022-06,21 to 40,2,<= 180,10
2022-06,21 to 40,2,<= 30,<5
2022-06,21 to 40,2,<= 365,15
2022-06,21 to 40,2,<= 90,<5
2022-06,21 to 40,3,<= 180,22
2022-06,21 to 40,3,<= 365,<5
2022-06,21 to 40,3,<= 90,<5
2022-06,21 to 40,4,<= 30,<5
2022-06,41 to 60,0,N/A,37
2022-06,41 to 60,1,<= 365,<5
2022-06,41 to 60,1,<= 90,<5
2022-06,41 to 60,2,366 +,<5
2022-06,41 to 60,2,<= 180,20
2022-06,41 to 60,2,<= 30,<5
2022-06,41 to 60,2,<= 365,68
2022-06,41 to 60,3,<= 180,178
2022-06,41 to 60,3,<= 30,<5
2022-06,41 to 60,3,<= 365,12
2022-06,41 to 60,3,<= 90,9
2022-06,41 to 60,4,<= 180,8
2022-06,41 to 60,4,<= 90,6
2022-06,61 to 80,0,N/A,87
2022-06,61 to 80,1,366 +,<5
2022-06,61 to 80,1,<= 180,<5
2022-06,61 to 80,1,<= 365,8
2022-06,61 to 80,1,<= 90,<5
2022-06,61 to 80,2,366 +,5
2022-06,61 to 80,2,<= 180,21
2022-06,61 to 80,2,<= 365,137
2022-06,61 to 80,2,<= 90,<5
2022-06,61 to 80,3,<= 180,813
2022-06,61 to 80,3,<= 30,<5
2022-06,61 to 80,3,<= 365,97
2022-06,61 to 80,3,<= 90,32
2022-06,61 to 80,4,<= 180,32
2022-06,61 to 80,4,<= 30,<5
2022-06,61 to 80,4,<= 90,28
2022-06,81 to 100,0,N/A,94
2022-06,81 to 100,1,<= 180,8
2022-06,81 to 100,1,<= 30,<5
2022-06,81 to 100,1,<= 365,6
2022-06,81 to 100,1,<= 90,<5
2022-06,81 to 100,2,366 +,5
2022-06,81 to 100,2,<= 180,29
2022-06,81 to 100,2,<= 365,96
2022-06,81 to 100,2,<= 90,<5
2022-06,81 to 100,3,<= 180,1207
2022-06,81 to 100,3,<= 30,6
2022-06,81 to 100,3,<= 365,227
2022-06,81 to 100,3,<= 90,51
2022-06,81 to 100,4,<= 180,<5
2022-06,81 to 100,4,<= 30,<5
2022-06,81 to 100,4,<= 90,7
2022-07,0 to 20,0,N/A,71
2022-07,0 to 20,2,<= 180,<5
2022-07,0 to 20,2,<= 365,<5
2022-07,0 to 20,3,<= 180,<5
2022-07,0 to 20,3,<= 365,<5
2022-07,100+,0,N/A,<5
2022-07,100+,2,366 +,<5
2022-07,100+,2,<= 365,<5
2022-07,100+,3,<= 180,13
2022-07,100+,3,<= 30,<5
2022-07,100+,3,<= 365,10
2022-07,100+,3,<= 90,<5
2022-07,100+,4,<= 30,<5
2022-07,100+,4,<= 90,<5
2022-07,21 to 40,0,N/A,9
2022-07,21 to 40,1,<= 180,<5
2022-07,21 to 40,1,<= 365,<5
2022-07,21 to 40,2,366 +,<5
2022-07,21 to 40,2,<= 180,6
2022-07,21 to 40,2,<= 365,33
2022-07,21 to 40,3,<= 180,25
2022-07,21 to 40,3,<= 365,<5
2022-07,21 to 40,3,<= 90,<5
2022-07,21 to 40,4,<= 180,<5
2022-07,21 to 40,4,<= 30,<5
2022-07,41 to 60,0,N/A,58
2022-07,41 to 60,1,<= 180,<5
2022-07,41 to 60,1,<= 365,<5
2022-07,41 to 60,2,366 +,<5
2022-07,41 to 60,2,<= 180,15
2022-07,41 to 60,2,<= 365,61
2022-07,41 to 60,2,<= 90,<5
2022-07,41 to 60,3,<= 180,137
2022-07,41 to 60,3,<= 30,<5
2022-07,41 to 60,3,<= 365,38
2022-07,41 to 60,3,<= 90,<5
2022-07,41 to 60,4,<= 180,7
2022-07,41 to 60,4,<= 30,<5
2022-07,41 to 60,4,<= 90,<5
2022-07,61 to 80,0,N/A,105
2022-07,61 to 80,1,<= 180,5
2022-07,61 to 80,1,<= 30,<5
2022-07,61 to 80,1,<= 365,10
2022-07,61 to 80,2,366 +,10
2022-07,61 to 80,2,<= 180,11
2022-07,61 to 80,2,<= 365,125
2022-07,61 to 80,2,<= 90,<5
2022-07,61 to 80,3,<= 180,585
2022-07,61 to 80,3,<= 30,<5
2022-07,61 to 80,3,<= 365,391
2022-07,61 to 80,3,<= 90,8
2022-07,61 to 80,4,<= 180,44
2022-07,61 to 80,4,<= 30,46
2022-07,61 to 80,4,<= 90,8
2022-07,61 to 80,5,<= 30,<5
2022-07,81 to 100,0,N/A,103
2022-07,81 to 100,1,366 +,<5
2022-07,81 to 100,1,<= 180,5
2022-07,81 to 100,1,<= 365,6
2022-07,81 to 100,1,<= 90,<5
2022-07,81 to 100,2,366 +,17
2022-07,81 to 100,2,<= 180,20
2022-07,81 to 100,2,<= 30,<5
2022-07,81 to 100,2,<= 365,106
2022-07,81 to 100,2,<= 90,<5
2022-07,81 to 100,3,<= 180,833
2022-07,81 to 100,3,<= 30,6
2022-07,81 to 100,3,<= 365,826
2022-07,81 to 100,3,<= 90,18
2022-07,81 to 100,4,<= 180,13
2022-07,81 to 100,4,<= 30,114
2022-07,81 to 100,4,<= 365,<5
2022-07,81 to 100,4,<= 90,8
2022-08,0 to 20,0,N/A,55
2022-08,0 to 20,1,<= 365,<5
2022-08,0 to 20,1,<= 90,<5
2022-08,0 to 20,2,<= 180,<5
2022-08,0 to 20,2,<= 365,8
2022-08,0 to 20,3,<= 180,<5
2022-08,0 to 20,3,<= 365,<5
2022-08,100+,0,N/A,<5
2022-08,100+,2,<= 180,<5
2022-08,100+,2,<= 365,<5
2022-08,100+,3,<= 365,12
2022-08,100+,4,<= 30,6
2022-08,100+,4,<= 90,<5
2022-08,21 to 40,0,N/A,15
2022-08,21 to 40,1,<= 180,<5
2022-08,21 to 40,1,<= 365,<5
2022-08,21 to 40,2,<= 180,<5
2022-08,21 to 40,2,<= 365,18
2022-08,21 to 40,2,<= 90,<5
2022-08,21 to 40,3,<= 180,12
2022-08,21 to 40,3,<= 30,<5
2022-08,21 to 40,3,<= 365,10
2022-08,21 to 40,4,<= 30,<5
2022-08,21 to 40,4,<= 90,<5
2022-08,41 to 60,0,N/A,52
2022-08,41 to 60,1,366 +,<5
2022-08,41 to 60,1,<= 30,<5
2022-08,41 to 60,1,<= 365,<5
2022-08,41 to 60,2,366 +,<5
2022-08,41 to 60,2,<= 180,<5
2022-08,41 to 60,2,<= 365,64
2022-08,41 to 60,3,<= 180,46
2022-08,41 to 60,3,<= 30,<5
2022-08,41 to 60,3,<= 365,121
2022-08,41 to 60,3,<= 90,<5
2022-08,41 to 60,4,<= 180,10
2022-08,41 to 60,4,<= 30,12
2022-08,41 to 60,4,<= 365,<5
2022-08,41 to 60,4,<= 90,<5
2022-08,61 to 80,0,N/A,113
2022-08,61 to 80,1,366 +,<5
2022-08,61 to 80,1,<= 180,<5
2022-08,61 to 80,1,<= 365,6
2022-08,61 to 80,2,366 +,18
2022-08,61 to 80,2,<= 180,6
2022-08,61 to 80,2,<= 365,109
2022-08,61 to 80,3,<= 180,186
2022-08,61 to 80,3,<= 30,<5
2022-08,61 to 80,3,<= 365,593
2022-08,61 to 80,3,<= 90,7
2022-08,61 to 80,4,<= 180,62
2022-08,61 to 80,4,<= 30,108
2022-08,61 to 80,4,<= 365,8
2022-08,61 to 80,4,<= 90,88
2022-08,61 to 80,5,<= 30,<5
2022-08,81 to 100,0,N/A,77
2022-08,81 to 100,1,366 +,<5
2022-08,81 to 100,1,<= 180,5
2022-08,81 to 100,1,<= 365,<5
2022-08,81 to 100,1,<= 90,<5
2022-08,81 to 100,2,366 +,15
2022-08,81 to 100,2,<= 180,<5
2022-08,81 to 100,2,<= 365,79
2022-08,81 to 100,3,<= 180,178
2022-08,81 to 100,3,<= 30,7
2022-08,81 to 100,3,<= 365,982
2022-08,81 to 100,3,<= 90,11
2022-08,81 to 100,4,<= 180,17
2022-08,81 to 100,4,<= 30,230
2022-08,81 to 100,4,<= 365,<5
2022-08,81 to 100,4,<= 90,152
2022-08,81 to 100,5,<= 180,<5
2022-09,0 to 20,0,N/A,62
2022-09,0 to 20,1,<= 365,<5
2022-09,0 to 20,2,366 +,<5
2022-09,0 to 20,2,<= 180,<5
2022-09,0 to 20,2,<= 365,5
2022-09,0 to 20,3,<= 180,<5
2022-09,0 to 20,3,<= 365,<5
2022-09,100+,0,N/A,<5
2022-09,100+,3,<= 365,10
2022-09,100+,4,<= 30,<5
2022-09,100+,4,<= 90,<5
2022-09,21 to 40,0,N/A,13
2022-09,21 to 40,1,<= 180,<5
2022-09,21 to 40,1,<= 365,<5
2022-09,21 to 40,2,<= 180,<5
2022-09,21 to 40,2,<= 365,22
2022-09,21 to 40,2,<= 90,<5
2022-09,21 to 40,3,<= 180,<5
2022-09,21 to 40,3,<= 30,<5
2022-09,21 to 40,3,<= 365,33
2022-09,21 to 40,3,<= 90,<5
2022-09,21 to 40,4,<= 180,<5
2022-09,21 to 40,4,<= 30,<5
2022-09,21 to 40,4,<= 365,<5
2022-09,21 to 40,4,<= 90,<5
2022-09,41 to 60,0,N/A,35
2022-09,41 to 60,1,366 +,<5
2022-09,41 to 60,1,<= 365,5
2022-09,41 to 60,1,<= 90,<5
2022-09,41 to 60,2,366 +,9
2022-09,41 to 60,2,<= 180,<5
2022-09,41 to 60,2,<= 365,54
2022-09,41 to 60,3,<= 180,16
2022-09,41 to 60,3,<= 30,<5
2022-09,41 to 60,3,<= 365,136
2022-09,41 to 60,3,<= 90,<5
2022-09,41 to 60,4,<= 180,8
2022-09,41 to 60,4,<= 30,<5
2022-09,41 to 60,4,<= 365,8
2022-09,41 to 60,4,<= 90,18
2022-09,41 to 60,5,<= 90,<5
2022-09,61 to 80,0,N/A,85
2022-09,61 to 80,1,366 +,<5
2022-09,61 to 80,1,<= 30,<5
2022-09,61 to 80,1,<= 365,7
2022-09,61 to 80,1,<= 90,<5
2022-09,61 to 80,2,366 +,26
2022-09,61 to 80,2,<= 180,<5
2022-09,61 to 80,2,<= 365,85
2022-09,61 to 80,3,<= 180,38
2022-09,61 to 80,3,<= 30,<5
2022-09,61 to 80,3,<= 365,597
2022-09,61 to 80,3,<= 90,12
2022-09,61 to 80,4,<= 180,35
2022-09,61 to 80,4,<= 30,62
2022-09,61 to 80,4,<= 365,17
2022-09,61 to 80,4,<= 90,230
2022-09,61 to 80,5,<= 30,<5
2022-09,61 to 80,5,<= 90,<5
2022-09,81 to 100,0,N/A,83
2022-09,81 to 100,1,366 +,<5
2022-09,81 to 100,1,<= 180,<5
2022-09,81 to 100,1,<= 365,<5
2022-09,81 to 100,2,366 +,18
2022-09,81 to 100,2,<= 180,<5
2022-09,81 to 100,2,<= 365,71
2022-09,81 to 100,2,<= 90,<5
2022-09,81 to 100,3,<= 180,35
2022-09,81 to 100,3,<= 30,6
2022-09,81 to 100,3,<= 365,775
2022-09,81 to 100,3,<= 90,18
2022-09,81 to 100,4,<= 180,11
2022-09,81 to 100,4,<= 30,122
2022-09,81 to 100,4,<= 365,<5
2022-09,81 to 100,4,<= 90,395
2022-09,81 to 100,5,<= 30,<5
2022-10,0 to 20,0,N/A,47
2022-10,0 to 20,2,366 +,5
2022-10,0 to 20,2,<= 365,5
2022-10,0 to 20,3,<= 180,<5
2022-10,0 to 20,3,<= 365,<5
2022-10,0 to 20,4,<= 180,<5
2022-10,100+,0,N/A,<5
2022-10,100+,3,<= 365,12
2022-10,100+,3,<= 90,<5
2022-10,100+,4,<= 180,<5
2022-10,100+,4,<= 30,<5
2022-10,100+,4,<= 90,5
2022-10,21 to 40,0,N/A,13
2022-10,21 to 40,1,<= 365,<5
2022-10,21 to 40,2,366 +,7
2022-10,21 to 40,2,<= 365,21
2022-10,21 to 40,3,<= 180,<5
2022-10,21 to 40,3,<= 365,23
2022-10,21 to 40,4,<= 180,<5
2022-10,21 to 40,4,<= 30,<5
2022-10,21 to 40,4,<= 365,<5
2022-10,21 to 40,4,<= 90,<5
2022-10,41 to 60,0,N/A,40
2022-10,41 to 60,1,366 +,<5
2022-10,41 to 60,1,<= 365,<5
2022-10,41 to 60,2,366 +,12
2022-10,41 to 60,2,<= 180,<5
2022-10,41 to 60,2,<= 365,41
2022-10,41 to 60,3,<= 180,6
2022-10,41 to 60,3,<= 365,150
2022-10,41 to 60,3,<= 90,<5
2022-10,41 to 60,4,<= 180,14
2022-10,41 to 60,4,<= 30,<5
2022-10,41 to 60,4,<= 365,17
2022-10,41 to 60,4,<= 90,21
2022-10,41 to 60,5,<= 90,<5
2022-10,61 to 80,0,N/A,79
2022-10,61 to 80,1,366 +,<5
2022-10,61 to 80,1,<= 365,7
2022-10,61 to 80,2,366 +,40
2022-10,61 to 80,2,<= 180,<5
2022-10,61 to 80,2,<= 365,66
2022-10,61 to 80,3,366 +,<5
2022-10,61 to 80,3,<= 180,20
2022-10,61 to 80,3,<= 365,546
2022-10,61 to 80,3,<= 90,<5
2022-10,61 to 80,4,<= 180,115
2022-10,61 to 80,4,<= 30,40
2022-10,61 to 80,4,<= 365,36
2022-10,61 to 80,4,<= 90,256
2022-10,61 to 80,5,<= 30,<5
2022-10,61 to 80,5,<= 90,<5
2022-10,81 to 100,0,N/A,68
2022-10,81 to 100,1,366 +,<5
2022-10,81 to 100,1,<= 90,<5
2022-10,81 to 100,2,366 +,29
2022-10,81 to 100,2,<= 180,<5
2022-10,81 to 100,2,<= 365,48
2022-10,81 to 100,2,<= 90,<5
2022-10,81 to 100,3,<= 180,22
2022-10,81 to 100,3,<= 30,<5
2022-10,81 to 100,3,<= 365,649
2022-10,81 to 100,3,<= 90,12
2022-10,81 to 100,4,<= 180,186
2022-10,81 to 100,4,<= 30,82
2022-10,81 to 100,4,<= 365,12
2022-10,81 to 100,4,<= 90,438
2022-10,81 to 100,5,<= 30,<5
2022-10,81 to 100,5,<= 90,<5
2022-11,0 to 20,0,N/A,60
2022-11,0 to 20,1,<= 365,<5
2022-11,0 to 20,2,366 +,<5
2022-11,0 to 20,2,<= 365,8
2022-11,0 to 20,3,<= 365,<5
2022-11,100+,0,N/A,<5
2022-11,100+,2,366 +,<5
2022-11,100+,2,<= 365,<5
2022-11,100+,3,<= 365,7
2022-11,100+,4,<= 180,8
2022-11,100+,4,<= 90,7
2022-11,21 to 40,0,N/A,17
2022-11,21 to 40,1,366 +,<5
2022-11,21 to 40,1,<= 365,<5
2022-11,21 to 40,2,366 +,15
2022-11,21 to 40,2,<= 365,18
2022-11,21 to 40,3,<= 180,<5
2022-11,21 to 40,3,<= 365,26
2022-11,21 to 40,4,<= 90,<5
2022-11,41 to 60,0,N/A,35
2022-11,41 to 60,1,366 +,<5
2022-11,41 to 60,1,<= 365,<5
2022-11,41 to 60,2,366 +,35
2022-11,41 to 60,2,<= 180,<5
2022-11,41 to 60,2,<= 365,17
2022-11,41 to 60,3,<= 180,<5
2022-11,41 to 60,3,<= 365,169
2022-11,41 to 60,3,<= 90,<5
2022-11,41 to 60,4,<= 180,24
2022-11,41 to 60,4,<= 30,5
2022-11,41 to 60,4,<= 365,8
2022-11,41 to 60,4,<= 90,12
2022-11,41 to 60,5,<= 180,<5
2022-11,41 to 60,5,<= 90,<5
2022-11,61 to 80,0,N/A,73
2022-11,61 to 80,1,366 +,<5
2022-11,61 to 80,1,<= 30,<5
2022-11,61 to 80,2,366 +,56
2022-11,61 to 80,2,<= 180,<5
2022-11,61 to 80,2,<= 365,25
2022-11,61 to 80,3,366 +,<5
2022-11,61 to 80,3,<= 180,16
2022-11,61 to 80,3,<= 30,<5
2022-11,61 to 80,3,<= 365,487
2022-11,61 to 80,3,<= 90,<5
2022-11,61 to 80,4,<= 180,265
2022-11,61 to 80,4,<= 30,26
2022-11,61 to 80,4,<= 365,20
2022-11,61 to 80,4,<= 90,112
2022-11,61 to 80,5,<= 180,<5
2022-11,61 to 80,5,<= 365,<5
2022-11,61 to 80,5,<= 90,18
2022-11,61 to 80,6,<= 365,<5
2022-11,81 to 100,0,N/A,55
2022-11,81 to 100,1,366 +,<5
2022-11,81 to 100,2,366 +,65
2022-11,81 to 100,2,<= 365,25
2022-11,81 to 100,2,<= 90,<5
2022-11,81 to 100,3,<= 180,12
2022-11,81 to 100,3,<= 30,<5
2022-11,81 to 100,3,<= 365,450
2022-11,81 to 100,3,<= 90,5
2022-11,81 to 100,4,<= 180,459
2022-11,81 to 100,4,<= 30,51
2022-11,81 to 100,4,<= 365,14
2022-11,81 to 100,4,<= 90,250
2022-11,81 to 100,5,<= 180,<5
2022-11,81 to 100,5,<= 30,<5
2022-11,81 to 100,5,<= 365,<5
2022-11,81 to 100,5,<= 90,6
2022-12,0 to 20,0,N/A,54
2022-12,0 to 20,1,<= 365,<5
2022-12,0 to 20,2,366 +,15
2022-12,0 to 20,2,<= 365,<5
2022-12,0 to 20,3,<= 365,<5
2022-12,100+,3,366 +,<5
2022-12,100+,3,<= 365,5
2022-12,100+,4,<= 180,15
2022-12,100+,4,<= 90,<5
2022-12,21 to 40,0,N/A,23
2022-12,21 to 40,1,<= 365,<5
2022-12,21 to 40,2,366 +,19
2022-12,21 to 40,2,<= 365,13
2022-12,21 to 40,3,366 +,<5
2022-12,21 to 40,3,<= 180,<5
2022-12,21 to 40,3,<= 365,29
2022-12,21 to 40,3,<= 90,<5
2022-12,21 to 40,4,<= 180,<5
2022-12,21 to 40,4,<= 90,<5
2022-12,41 to 60,0,N/A,43
2022-12,41 to 60,1,366 +,<5
2022-12,41 to 60,1,<= 365,<5
2022-12,41 to 60,2,366 +,53
2022-12,41 to 60,2,<= 365,25
2022-12,41 to 60,3,366 +,<5
2022-12,41 to 60,3,<= 180,6
2022-12,41 to 60,3,<= 365,132
2022-12,41 to 60,4,<= 180,34
2022-12,41 to 60,4,<= 30,<5
2022-12,41 to 60,4,<= 365,14
2022-12,41 to 60,4,<= 90,9
2022-12,41 to 60,5,<= 180,<5
2022-12,41 to 60,5,<= 90,<5
2022-12,61 to 80,0,N/A,88
2022-12,61 to 80,1,366 +,9
2022-12,61 to 80,1,<= 365,<5
2022-12,61 to 80,2,366 +,81
2022-12,61 to 80,2,<= 365,19
2022-12,61 to 80,2,<= 90,<5
2022-12,61 to 80,3,366 +,31
2022-12,61 to 80,3,<= 180,11
2022-12,61 to 80,3,<= 30,<5
2022-12,61 to 80,3,<= 365,391
2022-12,61 to 80,3,<= 90,<5
2022-12,61 to 80,4,<= 180,376
2022-12,61 to 80,4,<= 30,12
2022-12,61 to 80,4,<= 365,44
2022-12,61 to 80,4,<= 90,74
2022-12,61 to 80,5,<= 180,8
2022-12,61 to 80,5,<= 30,<5
2022-12,61 to 80,5,<= 90,15
2022-12,81 to 100,0,N/A,68
2022-12,81 to 100,1,366 +,<5
2022-12,81 to 100,1,<= 180,<5
2022-12,81 to 100,1,<= 30,<5
2022-12,81 to 100,1,<= 365,<5
2022-12,81 to 100,1,<= 90,<5
2022-12,81 to 100,2,366 +,71
2022-12,81 to 100,2,<= 180,<5
2022-12,81 to 100,2,<= 365,18
2022-12,81 to 100,2,<= 90,<5
2022-12,81 to 100,3,366 +,28
2022-12,81 to 100,3,<= 180,22
2022-12,81 to 100,3,<= 30,<5
2022-12,81 to 100,3,<= 365,407
2022-12,81 to 100,3,<= 90,5
2022-12,81 to 100,4,<= 180,639
2022-12,81 to 100,4,<= 30,34
2022-12,81 to 100,4,<= 365,27
2022-12,81 to 100,4,<= 90,168
2022-12,81 to 100,5,<= 180,<5
2022-12,81 to 100,5,<= 30,<5
2022-12,81 to 100,5,<= 365,<5
2022-12,81 to 100,5,<= 90,<5
2023-01,0 to 20,0,N/A,19
2023-01,0 to 20,1,<= 365,<5
2023-01,0 to 20,2,366 +,12
2023-01,0 to 20,2,<= 365,<5
2023-01,0 to 20,3,<= 180,<5
2023-01,0 to 20,3,<= 365,6
2023-01,0 to 20,4,<= 180,<5
2023-01,100+,0,N/A,<5
2023-01,100+,2,366 +,<5
2023-01,100+,3,<= 365,<5
2023-01,100+,4,<= 180,8
2023-01,100+,4,<= 365,<5
2023-01,21 to 40,0,N/A,16
2023-01,21 to 40,1,366 +,<5
2023-01,21 to 40,1,<= 365,<5
2023-01,21 to 40,2,366 +,30
2023-01,21 to 40,2,<= 365,<5
2023-01,21 to 40,3,366 +,<5
2023-01,21 to 40,3,<= 180,<5
2023-01,21 to 40,3,<= 365,21
2023-01,21 to 40,4,<= 180,<5
2023-01,41 to 60,0,N/A,39
2023-01,41 to 60,1,366 +,<5
2023-01,41 to 60,1,<= 365,<5
2023-01,41 to 60,2,366 +,74
2023-01,41 to 60,2,<= 365,10
2023-01,41 to 60,3,366 +,27
2023-01,41 to 60,3,<= 180,<5
2023-01,41 to 60,3,<= 365,127
2023-01,41 to 60,4,<= 180,26
2023-01,41 to 60,4,<= 30,<5
2023-01,41 to 60,4,<= 365,15
2023-01,41 to 60,4,<= 90,12
2023-01,61 to 80,0,N/A,63
2023-01,61 to 80,1,366 +,9
2023-01,61 to 80,1,<= 180,<5
2023-01,61 to 80,1,<= 365,<5
2023-01,61 to 80,2,366 +,91
2023-01,61 to 80,2,<= 365,8
2023-01,61 to 80,3,366 +,113
2023-01,61 to 80,3,<= 180,11
2023-01,61 to 80,3,<= 365,314
2023-01,61 to 80,3,<= 90,<5
2023-01,61 to 80,4,<= 180,274
2023-01,61 to 80,4,<= 30,5
2023-01,61 to 80,4,<= 365,159
2023-01,61 to 80,4,<= 90,66
2023-01,61 to 80,5,<= 180,13
2023-01,61 to 80,5,<= 90,5
2023-01,81 to 100,0,N/A,68
2023-01,81 to 100,1,366 +,5
2023-01,81 to 100,1,<= 180,<5
2023-01,81 to 100,1,<= 365,<5
2023-01,81 to 100,2,366 +,68
2023-01,81 to 100,2,<= 180,<5
2023-01,81 to 100,2,<= 365,<5
2023-01,81 to 100,3,366 +,135
2023-01,81 to 100,3,<= 180,9
2023-01,81 to 100,3,<= 30,<5
2023-01,81 to 100,3,<= 365,310
2023-01,81 to 100,3,<= 90,<5
2023-01,81 to 100,4,<= 180,518
2023-01,81 to 100,4,<= 30,10
2023-01,81 to 100,4,<= 365,209
2023-01,81 to 100,4,<= 90,116
2023-01,81 to 100,5,<= 180,5
2023-01,81 to 100,5,<= 90,<5
2023-02,0 to 20,0,N/A,14
2023-02,0 to 20,2,366 +,5
2023-02,0 to 20,2,<= 365,<5
2023-02,0 to 20,3,<= 365,<5
2023-02,100+,0,N/A,<5
2023-02,100+,1,366 +,<5
2023-02,100+,2,366 +,<5
2023-02,100+,3,366 +,<5
2023-02,100+,4,<= 180,7
2023-02,100+,4,<= 365,5
2023-02,100+,4,<= 90,<5
2023-02,21 to 40,0,N/A,14
2023-02,21 to 40,1,366 +,<5
2023-02,21 to 40,1,<= 365,<5
2023-02,21 to 40,2,366 +,26
2023-02,21 to 40,3,366 +,18
2023-02,21 to 40,3,<= 180,<5
2023-02,21 to 40,3,<= 365,6
2023-02,21 to 40,4,<= 180,<5
2023-02,21 to 40,4,<= 365,<5
2023-02,21 to 40,4,<= 90,<5
2023-02,41 to 60,0,N/A,35
2023-02,41 to 60,1,366 +,7
2023-02,41 to 60,2,366 +,67
2023-02,41 to 60,2,<= 365,<5
2023-02,41 to 60,3,366 +,72
2023-02,41 to 60,3,<= 365,57
2023-02,41 to 60,4,<= 180,16
2023-02,41 to 60,4,<= 365,30
2023-02,41 to 60,4,<= 90,<5
2023-02,41 to 60,5,<= 180,6
2023-02,41 to 60,5,<= 365,<5
2023-02,41 to 60,5,<= 90,<5
2023-02,41 to 60,6,<= 180,<5
2023-02,61 to 80,0,N/A,67
2023-02,61 to 80,1,366 +,<5
2023-02,61 to 80,1,<= 180,<5
2023-02,61 to 80,1,<= 365,<5
2023-02,61 to 80,2,366 +,68
2023-02,61 to 80,2,<= 365,<5
2023-02,61 to 80,3,366 +,244
2023-02,61 to 80,3,<= 180,8
2023-02,61 to 80,3,<= 30,<5
2023-02,61 to 80,3,<= 365,98
2023-02,61 to 80,3,<= 90,<5
2023-02,61 to 80,4,366 +,<5
2023-02,61 to 80,4,<= 180,144
2023-02,61 to 80,4,<= 30,<5
2023-02,61 to 80,4,<= 365,289
2023-02,61 to 80,4,<= 90,32
2023-02,61 to 80,5,<= 180,12
2023-02,61 to 80,5,<= 90,<5
2023-02,61 to 80,6,<= 90,<5
2023-02,81 to 100,0,N/A,39
2023-02,81 to 100,1,366 +,7
2023-02,81 to 100,2,366 +,55
2023-02,81 to 100,2,<= 180,<5
2023-02,81 to 100,2,<= 365,5
2023-02,81 to 100,3,366 +,258
2023-02,81 to 100,3,<= 180,6
2023-02,81 to 100,3,<= 365,89
2023-02,81 to 100,3,<= 90,<5
2023-02,81 to 100,4,366 +,<5
2023-02,81 to 100,4,<= 180,308
2023-02,81 to 100,4,<= 30,5
2023-02,81 to 100,4,<= 365,412
2023-02,81 to 100,4,<= 90,54
2023-02,81 to 100,5,<= 180,8
2023-02,81 to 100,5,<= 365,<5
2023-02,81 to 100,5,<= 90,<5
2023-03,0 to 20,0,N/A,13
2023-03,0 to 20,2,366 +,12
2023-03,0 to 20,3,366 +,<5
2023-03,0 to 20,3,<= 365,<5
2023-03,100+,0,N/A,<5
2023-03,100+,3,366 +,<5
2023-03,100+,4,<= 180,6
2023-03,100+,4,<= 30,<5
2023-03,100+,4,<= 365,6
2023-03,21 to 40,0,N/A,19
2023-03,21 to 40,1,366 +,<5
2023-03,21 to 40,2,366 +,32
2023-03,21 to 40,2,<= 365,<5
2023-03,21 to 40,3,366 +,27
2023-03,21 to 40,3,<= 365,<5
2023-03,21 to 40,4,<= 180,<5
2023-03,21 to 40,4,<= 365,<5
2023-03,21 to 40,5,<= 365,<5
2023-03,41 to 60,0,N/A,28
2023-03,41 to 60,1,366 +,<5
2023-03,41 to 60,2,366 +,71
2023-03,41 to 60,2,<= 365,<5
2023-03,41 to 60,3,366 +,128
2023-03,41 to 60,3,<= 365,17
2023-03,41 to 60,4,366 +,<5
2023-03,41 to 60,4,<= 180,12
2023-03,41 to 60,4,<= 30,<5
2023-03,41 to 60,4,<= 365,26
2023-03,41 to 60,4,<= 90,<5
2023-03,41 to 60,5,<= 180,<5
2023-03,41 to 60,5,<= 30,<5
2023-03,41 to 60,5,<= 365,<5
2023-03,61 to 80,0,N/A,71
2023-03,61 to 80,1,366 +,9
2023-03,61 to 80,2,366 +,102
2023-03,61 to 80,2,<= 180,<5
2023-03,61 to 80,2,<= 365,<5
2023-03,61 to 80,3,366 +,378
2023-03,61 to 80,3,<= 180,<5
2023-03,61 to 80,3,<= 365,32
2023-03,61 to 80,4,366 +,13
2023-03,61 to 80,4,<= 180,88
2023-03,61 to 80,4,<= 30,<5
2023-03,61 to 80,4,<= 365,393
2023-03,61 to 80,4,<= 90,16
2023-03,61 to 80,5,<= 180,12
2023-03,61 to 80,5,<= 365,7
2023-03,61 to 80,5,<= 90,<5
2023-03,61 to 80,7,<= 90,<5
2023-03,81 to 100,0,N/A,61
2023-03,81 to 100,1,366 +,<5
2023-03,81 to 100,1,<= 30,<5
2023-03,81 to 100,1,<= 365,<5
2023-03,81 to 100,2,366 +,59
2023-03,81 to 100,2,<= 180,<5
2023-03,81 to 100,2,<= 365,<5
2023-03,81 to 100,3,366 +,364
2023-03,81 to 100,3,<= 180,13
2023-03,81 to 100,3,<= 30,<5
2023-03,81 to 100,3,<= 365,38
