"Deaths by age and sex (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2007,174,18,12,9,3,9,3,3,3,9,3,6,3,6,9,18,12,27,39,21,39,36,33,24,18,21,24,30,18,24,24,21,30,30,39,39,39,45,39,45,51,39,42,60,63,81,63,78,102,81,84,102,108,117,111,129,111,150,135,180,180,183,174,195,183,234,219,234,258,258,297,300,282,351,345,351,435,420,450,498,480,525,498,462,477,435,420,387,306,285,291,222,192,150,111,81,72,45,39,24,39,141,15,12,9,6,0,3,6,0,3,6,3,6,6,3,15,15,18,12,9,15,6,18,12,9,9,12,3,6,9,9,18,15,12,24,24,21,27,33,24,33,33,33,51,60,42,45,39,60,54,60,66,81,69,72,96,111,114,102,99,114,99,138,126,144,159,165,180,183,195,174,192,222,234,258,276,315,303,345,363,372,411,495,507,510,579,603,597,483,492,519,471,414,375,324,270,186,168,120,75,168
2008,198,27,9,6,3,6,3,6,0,3,6,3,6,9,12,12,27,27,24,36,33,27,36,33,21,30,27,18,24,18,21,18,33,24,27,33,39,33,36,48,27,54,54,60,51,78,66,54,81,84,81,90,96,114,90,135,135,129,147,165,186,198,213,174,207,228,243,258,255,270,273,282,306,306,342,381,402,399,462,504,498,525,498,531,480,468,501,408,345,315,258,267,186,153,123,99,69,39,21,21,39,126,18,9,3,3,3,3,3,3,6,3,0,3,3,9,15,12,9,18,18,18,12,9,3,12,9,6,12,9,15,12,9,12,12,18,21,27,24,24,39,33,33,30,42,39,39,60,51,42,48,51,78,69,75,66,84,108,111,117,144,123,141,153,132,138,141,153,198,186,180,204,225,231,237,255,255,270,339,357,384,399,429,477,516,546,525,633,603,588,498,507,492,390,414,348,291,237,168,132,90,171
2009,171,18,6,6,3,0,0,3,6,3,3,0,3,3,15,15,21,39,30,30,27,39,30,27,30,21,18,18,24,27,24,30,42,27,36,27,27,36,39,42,33,36,54,57,75,75,75,75,63,81,84,123,114,90,117,108,126,135,141,144,174,228,189,183,213,234,219,240,276,282,291,300,297,309,336,339,378,405,462,465,468,474,483,525,495,486,435,414,408,324,261,228,219,171,135,111,87,48,39,30,36,138,15,9,9,3,3,6,6,3,3,3,6,6,6,6,9,18,12,9,6,12,9,6,9,3,12,15,15,12,15,12,9,15,15,9,15,18,24,30,27,30,33,45,33,48,51,54,66,57,66,75,75,81,84,96,66,87,93,105,108,114,144,153,123,144,132,156,180,192,207,213,204,225,216,267,246,264,282,342,333,390,432,483,516,531,537,585,564,594,615,495,474,447,405,312,267,222,177,111,87,189
2010,183,9,12,6,6,3,3,0,3,0,3,3,3,3,6,12,18,24,39,24,30,36,30,33,6,18,24,18,18,18,21,21,21,15,21,18,27,45,33,51,36,48,48,42,63,63,75,75,96,84,105,87,105,108,117,141,132,144,165,135,150,159,198,216,207,204,207,228,261,297,261,291,303,297,333,360,363,384,369,423,444,480,558,492,495,492,444,417,375,357,315,225,192,171,138,96,81,69,48,24,36,138,15,9,3,0,3,0,0,0,3,3,3,3,6,6,6,9,9,18,9,12,18,6,6,6,9,12,18,9,9,15,9,18,18,15,15,18,27,21,27,39,30,45,39,36,39,63,45,63,75,84,57,72,75,81,90,102,78,87,102,138,129,150,132,132,165,141,186,186,177,210,189,219,222,258,243,252,285,321,351,411,393,429,492,543,540,555,555,576,609,552,429,408,372,360,297,213,162,144,81,162
2011,168,18,12,3,3,0,3,3,0,0,3,3,9,6,6,12,21,30,27,33,33,36,24,33,21,24,24,27,21,21,27,30,21,24,24,30,27,27,33,33,51,60,39,48,66,60,54,66,84,78,87,102,105,96,108,135,141,123,159,183,165,174,207,234,204,219,258,240,225,291,315,321,288,351,306,315,354,426,447,429,480,477,483,513,546,507,453,453,465,408,336,312,213,171,144,129,78,57,45,18,39,120,9,3,0,3,3,3,0,0,3,3,3,3,6,3,6,6,15,12,12,21,18,12,15,12,15,15,9,9,15,18,15,21,15,12,15,18,27,24,33,33,33,30,42,42,42,51,42,60,69,69,69,75,78,78,87,99,99,114,90,111,126,144,156,192,168,192,201,180,201,219,240,219,231,255,276,276,273,330,360,414,438,480,525,492,585,630,594,600,639,615,576,465,423,375,312,237,201,141,108,192
2012,141,15,6,6,3,3,3,3,0,6,6,6,3,6,9,18,21,21,24,33,33,27,21,27,24,27,27,21,24,18,15,18,18,21,24,24,30,18,42,36,39,48,48,54,48,63,60,72,81,90,90,96,105,111,126,123,126,129,150,150,165,192,186,192,225,237,255,240,282,282,297,333,357,312,357,345,375,399,381,405,462,489,513,540,534,495,525,507,498,390,354,327,249,189,129,126,96,57,42,33,33,114,12,12,3,3,3,0,3,0,6,0,3,6,6,6,6,9,18,18,6,18,9,9,9,9,9,6,6,6,6,9,18,12,21,15,15,12,15,18,24,24,39,39,39,39,33,57,60,60,87,69,84,93,66,93,69,87,84,108,108,114,138,108,144,165,177,168,171,174,177,228,225,225,237,249,285,300,312,300,333,384,405,471,462,531,579,585,624,609,609,603,588,537,396,357,312,252,195,165,138,189
2013,147,12,6,0,3,0,3,3,0,3,3,6,0,0,0,15,15,18,27,30,30,27,30,21,21,27,15,18,21,18,21,21,15,21,18,27,33,21,27,36,42,45,54,45,45,66,72,66,84,78,99,87,99,117,135,117,135,150,153,162,153,168,192,219,204,261,243,252,243,276,276,354,318,360,360,348,363,354,435,408,459,468,498,528,501,552,513,489,510,396,363,315,240,177,123,108,96,66,42,33,66,114,12,9,6,6,6,3,0,3,0,3,3,3,3,6,9,9,9,9,12,3,12,12,12,6,9,9,6,9,9,9,15,18,12,9,12,18,18,18,30,21,30,30,42,45,42,51,48,48,66,75,72,96,96,96,99,93,69,108,117,114,105,150,159,177,156,183,189,186,195,198,243,234,210,255,261,273,294,345,357,387,357,432,480,486,579,546,528,603,621,546,513,510,459,309,282,267,177,147,117,189
2014,183,12,6,9,6,6,3,9,3,3,3,3,0,3,6,12,15,21,15,24,21,21,27,21,27,21,27,24,18,12,21,18,24,27,21,24,30,36,30,33,39,36,42,45,54,48,63,72,69,90,84,108,99,129,141,126,147,129,141,162,174,183,180,201,213,234,267,324,282,285,294,276,366,396,324,384,384,384,393,444,435,459,525,525,564,534,597,543,477,393,429,345,264,252,216,132,120,78,51,33,48,147,15,3,3,3,0,3,3,3,3,0,0,3,6,3,3,3,12,12,6,6,9,9,6,9,12,6,21,0,9,6,6,12,15,12,9,12,24,18,15,30,33,27,39,42,45,42,48,54,54,75,72,84,90,90,93,99,108,123,132,120,123,132,171,165,174,177,189,189,189,222,225,252,234,255,288,300,324,321,378,393,426,513,486,534,561,564,627,600,600,621,567,522,471,411,285,267,210,171,114,201
2015,129,12,6,3,6,6,3,0,3,6,3,6,3,6,6,12,6,15,27,33,21,27,24,21,39,27,18,27,21,24,18,21,24,27,21,27,27,18,24,27,33,39,48,42,51,63,60,63,84,69,87,96,96,114,123,132,147,135,159,153,180,183,195,213,219,240,288,285,300,282,300,342,315,399,405,405,423,426,399,393,462,453,474,522,540,513,549,537,501,462,423,363,297,255,216,162,87,69,51,36,54,123,9,6,3,6,3,3,3,3,0,0,3,3,3,6,15,6,9,9,6,9,3,9,12,12,12,9,12,15,9,12,9,12,15,18,12,21,21,21,15,27,18,36,30,42,54,48,60,66,54,69,75,96,87,99,99,102,111,96,114,105,144,126,132,159,165,174,180,267,225,234,216,204,273,315,315,297,342,369,360,378,432,501,492,558,573,585,594,576,612,633,585,519,504,456,348,258,213,180,117,231
2016,111,12,6,6,3,9,3,6,3,3,0,0,3,3,9,9,12,21,21,21,18,30,21,33,18,33,30,21,24,24,21,33,27,21,24,33,36,24,21,24,39,36,39,54,57,54,51,84,72,81,87,111,93,114,138,153,162,141,168,174,168,180,222,207,216,264,252,276,291,339,300,267,321,327,408,390,381,426,435,426,462,486,450,474,537,582,504,558,465,450,459,348,300,243,222,171,102,78,45,36,48,99,3,6,0,0,3,3,3,3,6,0,3,3,3,6,3,6,9,6,9,12,12,6,9,15,9,15,15,6,18,18,12,15,12,15,12,18,21,18,18,27,21,36,39,39,48,42,54,51,60,75,66,66,99,102,114,108,105,117,117,135,135,129,132,159,144,162,216,213,246,201,216,249,237,276,300,291,342,333,357,393,387,432,465,501,564,573,591,618,606,606,585,552,441,399,375,333,162,156,129,234
